Id,source,title,article,page_rank,timestamp,text,n_tokens,title_len,article_len,title_ratio
1052,Yahoo,"Thud! Michigan drops out of AP Top 25 \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070904/ap_on_sp_co_ne/fbc_t25_college_fb_poll""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070901/capt.6ac787a7249046f6a429e7d3f7495d39.appalachian_st_michigan_football_aas117.jpg?x=90&y=130&sig=opJLH4gnioIg86iDkHoY7g--"" align=""left"" height=""130"" width=""90"" alt=""Michigan coach Lloyd Carr works the sidelines in the fourth quarter of their 34-32 loss to Appalachian State in a football game Saturday, Sept. 1, 2007, in Ann Arbor, Mich. (AP Photo/Duane Burleson)"" border=""0"" /></a>AP - Thud! The final fallout from a disastrous opening weekend for Michigan came Tuesday, when the Wolverines dropped all the way out of The Associated Press Top 25, an unprecedented fall from No. 5 to unranked. Since the AP poll expanded to 25 teams in 1989, no team has taken a bigger tumble in one week.</p><br clear=""all""/>",5,2007-09-05 00:59:26,"thud! michigan drops out of ap top 25 \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070904/ap_on_sp_co_ne/fbc_t25_college_fb_poll""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070901/capt.6ac787a7249046f6a429e7d3f7495d39.appalachian_st_michigan_football_aas117.jpg?x=90&y=130&sig=opjlh4gnioig86idkhoy7g--"" align=""left"" height=""130"" width=""90"" alt=""michigan coach lloyd carr works the sidelines in the fourth quarter of their 34-32 loss to appalachian state in a football game saturday, sept. 1, 2007, in ann arbor, mich. (ap photo/duane burleson)"" border=""0"" /></a>ap - thud! the final fallout from a disastrous opening weekend for michigan came tuesday, when the wolverines dropped all the way out of the associated press top 25, an unprecedented fall from no. 5 to unranked. since the ap poll expanded to 25 teams in 1989, no team has taken a bigger tumble in one week.</p><br clear=""all""/>",98,50,896,0.055741360089186176
1053,Yahoo,"Thai retail row could end up in the courts: experts \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20060915/wl_uk_afp/thailandeconomyretail""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20060915/capt.sge.nol96.150906051203.photo00.photo.default-512x353.jpg?x=130&y=89&sig=WZ5gVhInE45330rbiz0Xew--"" align=""left"" height=""89"" width=""130"" alt=""Thai workers clean the roof of a Starbucks shop in Bangkok. Thailand's demand that foreign retailers halt all plans for expansion could spark legal challenges or disputes with the kingdom's European trade partners, experts say.(AFP/File/Pornchai Kittiwongsakul)"" border=""0"" /></a>AFP - Thailand's demand that foreign retailers halt all plans for expansion could spark legal challenges or disputes with the kingdom's European trade partners, experts say.</p><br clear=""all""/>",5,2006-09-15 07:52:51,"thai retail row could end up in the courts: experts \
    (afp)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20060915/wl_uk_afp/thailandeconomyretail""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20060915/capt.sge.nol96.150906051203.photo00.photo.default-512x353.jpg?x=130&y=89&sig=wz5gvhine45330rbiz0xew--"" align=""left"" height=""89"" width=""130"" alt=""thai workers clean the roof of a starbucks shop in bangkok. thailand's demand that foreign retailers halt all plans for expansion could spark legal challenges or disputes with the kingdom's european trade partners, experts say.(afp/file/pornchai kittiwongsakul)"" border=""0"" /></a>afp - thailand's demand that foreign retailers halt all plans for expansion could spark legal challenges or disputes with the kingdom's european trade partners, experts say.</p><br clear=""all""/>",70,65,801,0.08104738154613467
1054,Topix.Net,Berlusconi gaffe MP appears nude,"MARA Carfagna, the Italian member of Parliament who so fascinated former prime minister Silvio Berlusconi that he was forced into a public apology to his wife, appeared nude in Spanish sports newspaper AS ...<br/><a href=""http://www.topix.net/forum/link/thread?forum=world/europe&artsig=aa2a47f299"">Comment</a>",5,2007-02-01 14:41:05,"berlusconi gaffe mp appears nude mara carfagna, the italian member of parliament who so fascinated former prime minister silvio berlusconi that he was forced into a public apology to his wife, appeared nude in spanish sports newspaper as ...<br/><a href=""http://www.topix.net/forum/link/thread?forum=world/europe&artsig=aa2a47f299"">comment</a>",35,32,310,0.10289389067524116
1055,Yahoo,Europeans Wear the Underdog Label Well (AP),AP - Don't look for Hal Sutton to repeat the classic introduction Ben Hogan gave during the flag-raising ceremony for the 1967 Ryder Cup.,5,0000-00-00 00:00:00,europeans wear the underdog label well (ap) ap - don't look for hal sutton to repeat the classic introduction ben hogan gave during the flag-raising ceremony for the 1967 ryder cup.,24,43,137,0.3115942028985507
1056,BBC,EU money geared to smart future,Europe launches its 50.5bn-euro (Â£33bn) programme for research and technological development.,5,2007-02-07 14:38:37,eu money geared to smart future europe launches its 50.5bn-euro (â£33bn) programme for research and technological development.,11,31,94,0.3263157894736842
1057,Scotland,Two Killed in Attack on Baghdad Governor&#39;s Convoy,"An explosion targeted the Baghdad governorâs convoy as he was travelling through the Iraqi capital today, killing two people but leaving him uninjured, the Interior Ministry said.",5,0000-00-00 00:00:00,"two killed in attack on baghdad governor&#39;s convoy an explosion targeted the baghdad governorâs convoy as he was travelling through the iraqi capital today, killing two people but leaving him uninjured, the interior ministry said.",27,53,181,0.29120879120879123
1058,Yahoo,"Microsoft game, device unit sees loss in '07 \
    (Reuters)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/business/*http://news.yahoo.com/s/nm/20060727/bs_nm/microsoft_gaming_dc""><img src=""http://d.yimg.com/us.yimg.com/p/nm/20060718/2006_07_18t090958_450x396_us_microsoft_lawsuits.jpg?x=130&y=114&sig=UDPkkgJFCYHo2_BSa.kFRA--"" align=""left"" height=""114"" width=""130"" alt=""Microsoft Corp.'s Xbox 360 game console is displayed in Tokyo April 6, 2006. (Yuriko Nakao/Reuters)"" border=""0"" /></a>Reuters - Microsoft Corp.  on \
Thursday forecast another year of losses at its mobile phone, \
games and device business before turning a profit in the \
business year ending June 30, 2008.</p><br clear=""all""/>",5,2006-07-28 05:00:05,"microsoft game, device unit sees loss in '07 \
    (reuters)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/business/*http://news.yahoo.com/s/nm/20060727/bs_nm/microsoft_gaming_dc""><img src=""http://d.yimg.com/us.yimg.com/p/nm/20060718/2006_07_18t090958_450x396_us_microsoft_lawsuits.jpg?x=130&y=114&sig=udpkkgjfcyho2_bsa.kfra--"" align=""left"" height=""114"" width=""130"" alt=""microsoft corp.'s xbox 360 game console is displayed in tokyo april 6, 2006. (yuriko nakao/reuters)"" border=""0"" /></a>reuters - microsoft corp.  on \
thursday forecast another year of losses at its mobile phone, \
games and device business before turning a profit in the \
business year ending june 30, 2008.</p><br clear=""all""/>",57,62,642,0.09642301710730948
1059,Yahoo,Top Official: U.S. Wants Cuba 'Liberation' (AP),"AP - President Bush will be committed during his second term to the ""liberation of Cuba"" by extending moral and political support to the Cuban people, a top State Department official said Friday.",5,2004-12-06 14:20:27,"top official: u.s. wants cuba 'liberation' (ap) ap - president bush will be committed during his second term to the ""liberation of cuba"" by extending moral and political support to the cuban people, a top state department official said friday.",33,47,195,0.23979591836734693
1060,London,Danny&#39;s dad dreaming of the title,"I have a dream, Augustus Williams said to himself 31 years ago as his son was about to be born. His dream, that son Danny would one day become heavyweight champion of the world ",5,0000-00-00 00:00:00,"danny&#39;s dad dreaming of the title i have a dream, augustus williams said to himself 31 years ago as his son was about to be born. his dream, that son danny would one day become heavyweight champion of the world ",34,37,177,0.20786516853932585
1061,Reuters,Gay priest loses bid to become U.S. Episcopal bishop," NEWARK, N.J., Sept 23 (Reuters Life!) - The Episcopal   Diocese of Newark elected a Massachusetts cleric as its next   bishop on Saturday, passing over a gay priest whose selection   would have touched off more turmoil in the worldwide Anglican   church.",5,2006-09-23 22:48:40,"gay priest loses bid to become u.s. episcopal bishop  newark, n.j., sept 23 (reuters life!) - the episcopal   diocese of newark elected a massachusetts cleric as its next   bishop on saturday, passing over a gay priest whose selection   would have touched off more turmoil in the worldwide anglican   church.",40,52,255,0.203125
1062,CNET,"News.com Extra: Apple's new star, the Mac computer",Plus: My GPS proves your radar gun is wrong. Read these stories and more from around the Web on News.com Extra.,3,2007-10-27 05:34:53,"news.com extra: apple's new star, the mac computer plus: my gps proves your radar gun is wrong. read these stories and more from around the web on news.com extra.",21,50,111,0.44642857142857145
1063,Reuters,W.House Gives Rumsfeld New Vote of Confidence, WASHINGTON (Reuters) - The White House gave a new vote of  confidence on Friday to Defense Secretary Donald Rumsfeld amid  growing criticism of him from members of President Bush's own  Republican Party.,5,0000-00-00 00:00:00,w.house gives rumsfeld new vote of confidence  washington (reuters) - the white house gave a new vote of  confidence on friday to defense secretary donald rumsfeld amid  growing criticism of him from members of president bush's own  republican party.,32,45,204,0.21951219512195122
1064,Yahoo,Late Start May Delay Toilet Training - Study (Reuters),"Reuters - The average age when children\
are successfully toilet trained is going up, and new research\
has identified certain factors related to this trend.",5,0000-00-00 00:00:00,"late start may delay toilet training - study (reuters) reuters - the average age when children\
are successfully toilet trained is going up, and new research\
has identified certain factors related to this trend.",25,54,157,0.34177215189873417
1065,Seattle,Dutch watchdog issues fines vs. spammers,"AMSTERDAM, Netherlands -- The Dutch telecommunications watchdog has issued its first fines under the nation&#39;s ban on spam. The highest single fine - for $61,000 - went to a person involved with four spam e ",5,0000-00-00 00:00:00,"dutch watchdog issues fines vs. spammers amsterdam, netherlands -- the dutch telecommunications watchdog has issued its first fines under the nation&#39;s ban on spam. the highest single fine - for $61,000 - went to a person involved with four spam e ",35,40,210,0.1895734597156398
1066,Yahoo,"Smith's funeral to feature pink flowers \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070301/ap_en_tv/anna_nicole_smith""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070301/capt.flad10103011753.anna_nicole_smith_flad101.jpg?x=130&y=84&sig=Glz6oelrAunr_dFgKEsXDw--"" align=""left"" height=""84"" width=""130"" alt=""Medical Examiner Joshua Perper gestures as he talks to a reporter at the Broward County Medical Examiner's office in Fort Lauderdale, Fla., Thursday, March 1, 2007. Anna Nicole Smith's body will leave for the Bahamas by private plane early Friday and the starlet will be buried hours later, said the attorney given control of her remains after weeks of legal wrangling. (AP Photo/Alan Diaz)"" border=""0"" /></a>AP - Anna Nicole Smith will be buried in a custom-made gown next to her 20-year-old son following an ""over the top"" memorial service with a tightly controlled guest list, said a friend helping to organize the memorial.</p><br clear=""all""/>",5,2007-03-01 21:15:10,"smith's funeral to feature pink flowers \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070301/ap_en_tv/anna_nicole_smith""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070301/capt.flad10103011753.anna_nicole_smith_flad101.jpg?x=130&y=84&sig=glz6oelraunr_dfgkesxdw--"" align=""left"" height=""84"" width=""130"" alt=""medical examiner joshua perper gestures as he talks to a reporter at the broward county medical examiner's office in fort lauderdale, fla., thursday, march 1, 2007. anna nicole smith's body will leave for the bahamas by private plane early friday and the starlet will be buried hours later, said the attorney given control of her remains after weeks of legal wrangling. (ap photo/alan diaz)"" border=""0"" /></a>ap - anna nicole smith will be buried in a custom-made gown next to her 20-year-old son following an ""over the top"" memorial service with a tightly controlled guest list, said a friend helping to organize the memorial.</p><br clear=""all""/>",110,52,964,0.0538860103626943
1067,Yahoo,"Moscow excess hits new heights with luxury hotel \
    (Reuters)\
","Reuters - Russia capped its journey from communism\
to capitalism on Sunday with the opening of a $1,000-a-night\
(500-pounds-a-night) luxury hotel on the site of an old Soviet\
hostelry best known for its surly service and bugged\
telephones.",5,2007-07-01 02:41:28,"moscow excess hits new heights with luxury hotel \
    (reuters)\
 reuters - russia capped its journey from communism\
to capitalism on sunday with the opening of a $1,000-a-night\
(500-pounds-a-night) luxury hotel on the site of an old soviet\
hostelry best known for its surly service and bugged\
telephones.",38,66,243,0.27049180327868855
1068,Syfy.com,The Khan in Shilpa's life is unhappy,"After much ado, actress Shilpa Shetty won the British reality game show Celebrity Big Brother. And sympathy vote or not, the actress walks away from the show as a multi-millionaire but Shilpa's agent is already a bit upset about being given the cold shoulder.",5,2007-01-30 19:53:30,"the khan in shilpa's life is unhappy after much ado, actress shilpa shetty won the british reality game show celebrity big brother. and sympathy vote or not, the actress walks away from the show as a multi-millionaire but shilpa's agent is already a bit upset about being given the cold shoulder.",44,36,259,0.13846153846153847
1069,Yahoo,Walker Would Give Freshman Heisman Vote (AP),"AP - Like many Heisman Trophy voters, Herschel Walker is waiting until after this weekend to fill out his ballot.",5,2004-12-02 00:46:55,"walker would give freshman heisman vote (ap) ap - like many heisman trophy voters, herschel walker is waiting until after this weekend to fill out his ballot.",20,44,113,0.38596491228070173
1070,BBC,Ford set to unveil fresh shake-up,Ford is widely expected to announce another round of job cuts as it finalises a restructuring drive.,5,2006-09-14 16:23:27,ford set to unveil fresh shake-up ford is widely expected to announce another round of job cuts as it finalises a restructuring drive.,17,33,100,0.32673267326732675
1071,BBC,Canadian freedoms 'under threat',"Personal freedoms in Canada are being eroded by the ""war on terror"", the country's privacy commissioner warns.",5,0000-00-00 00:00:00,"canadian freedoms 'under threat' personal freedoms in canada are being eroded by the ""war on terror"", the country's privacy commissioner warns.",17,32,110,0.2882882882882883
1072,Reuters,Lebanon army tightens noose around militants,"NAHR AL-BARED, Lebanon (Reuters) - Lebanese troops tightened the noose around al Qaeda-inspired militants at a Palestinian refugee camp in north Lebanon on Monday, where the army made major advances after a month of fighting.",5,2007-06-18 15:13:50,"lebanon army tightens noose around militants nahr al-bared, lebanon (reuters) - lebanese troops tightened the noose around al qaeda-inspired militants at a palestinian refugee camp in north lebanon on monday, where the army made major advances after a month of fighting.",35,44,225,0.19469026548672566
1073,Yahoo,"'Weak to moderate' El Nino until early 2007: WMO \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/science/*http://news.yahoo.com/s/afp/20060926/sc_afp/wmoclimatepacificnino""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20060926/capt.sge.rdx24.260906153319.photo00.photo.default-512x512.jpg?x=130&y=130&sig=mp0IDr2EPonvp4xl1tRAZg--"" align=""left"" height=""130"" width=""130"" alt=""Satellite image shows the retreat of the El Nino currents (white/red) in 1998. The World Meteorological Organization (WMO) has warned that the El Nino climatic phenomenon should gather weak to moderate intensity, leading to a warming of the Pacific Ocean.(AFP/NASA/File)"" border=""0"" /></a>AFP - The climatic phenomenon El Nino should gather weak to moderate intensity, leading to a warming of the Pacific Ocean, according to the World Meteorological Organization (WMO).</p><br clear=""all""/>",5,2006-09-26 18:58:42,"'weak to moderate' el nino until early 2007: wmo \
    (afp)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/science/*http://news.yahoo.com/s/afp/20060926/sc_afp/wmoclimatepacificnino""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20060926/capt.sge.rdx24.260906153319.photo00.photo.default-512x512.jpg?x=130&y=130&sig=mp0idr2eponvp4xl1trazg--"" align=""left"" height=""130"" width=""130"" alt=""satellite image shows the retreat of the el nino currents (white/red) in 1998. the world meteorological organization (wmo) has warned that the el nino climatic phenomenon should gather weak to moderate intensity, leading to a warming of the pacific ocean.(afp/nasa/file)"" border=""0"" /></a>afp - the climatic phenomenon el nino should gather weak to moderate intensity, leading to a warming of the pacific ocean, according to the world meteorological organization (wmo).</p><br clear=""all""/>",76,62,817,0.07579462102689487
1074,Reuters,"Hundreds surrender at Pakistan mosque, many defiant",ISLAMABAD (Reuters) - More than 500 radical Muslim students surrendered at a besieged mosque in the Pakistani capital on Wednesday but thousands of militants remained inside a day after 11 people were killed in clashes.,5,2007-07-04 16:16:27,"hundreds surrender at pakistan mosque, many defiant islamabad (reuters) - more than 500 radical muslim students surrendered at a besieged mosque in the pakistani capital on wednesday but thousands of militants remained inside a day after 11 people were killed in clashes.",35,51,219,0.2318181818181818
1075,Daily,Early detection of breast cancer provides better chance of cure,"BEIRUT: Experts agree that women worldwide must learn that early detection of breast cancer, through regular screening, is better than a thousand cures.",5,0000-00-00 00:00:00,"early detection of breast cancer provides better chance of cure beirut: experts agree that women worldwide must learn that early detection of breast cancer, through regular screening, is better than a thousand cures.",23,63,152,0.4117647058823529
1076,Reuters,Futures extend declines on PPI data,"NEW YORK (Reuters) - U.S. stock index futures extended declines on Tuesday after government data showed producer prices jumped by the most in more than three decades, spurring concerns about inflation. ",5,2006-12-19 17:32:04,"futures extend declines on ppi data new york (reuters) - u.s. stock index futures extended declines on tuesday after government data showed producer prices jumped by the most in more than three decades, spurring concerns about inflation. ",31,35,202,0.1724137931034483
1077,Reuters,GM and UAW dash to complete cost-cutting labor deal,DETROIT (Reuters) - General Motors Corp. and the United Auto Workers union on Sunday rushed to complete a cost-cutting labor deal that would allow the top U.S. automaker to cut itself free from a $50 billion retiree health-care burden.,5,2007-09-23 23:49:11,gm and uaw dash to complete cost-cutting labor deal detroit (reuters) - general motors corp. and the united auto workers union on sunday rushed to complete a cost-cutting labor deal that would allow the top u.s. automaker to cut itself free from a $50 billion retiree health-care burden.,39,51,235,0.21610169491525424
1078,Reuters,Infection risk in kids living near landfills," NEW YORK (Reuters Health) - Living near a hazardous waste   site containing persistent pollutants such as dioxins,   polychlorinated biphenyls (PCBs) and chlorinated pesticides,   seems to increase the risk of hospitalization for respiratory   infections and asthma in children, a study suggests.",5,2006-09-08 02:39:36,"infection risk in kids living near landfills  new york (reuters health) - living near a hazardous waste   site containing persistent pollutants such as dioxins,   polychlorinated biphenyls (pcbs) and chlorinated pesticides,   seems to increase the risk of hospitalization for respiratory   infections and asthma in children, a study suggests.",40,44,297,0.1476510067114094
1079,Yahoo,"Devils hire Brent Sutter as coach \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070714/ap_on_sp_ho_ne/hkn_devils_sutter""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070713/capt.6c742aa6d82f4cb58f37691bafb258ba.devils_sutter_hockey_njme108.jpg?x=97&y=130&sig=hMBiWaX4lpGIk5sq92qQ2w--"" align=""left"" height=""130"" width=""97"" alt=""Brent Sutter smiles as he is introduced as the New Jersey Devils new head coach Friday, July 13, 2007 in Newark, N.J. Sutter, third youngest of seven Sutter brothers, six of whom played in the NHL, played on the 1982-83 Stanley Cup winning New York Islanders  team. (AP Photo/Mel Evans)"" border=""0"" /></a>AP - The first time Jeff Vanderbeek listened to Brent Sutter, the Devils' owner knew he was the right man to return New Jersey to glory.</p><br clear=""all""/>",5,2007-07-14 16:53:24,"devils hire brent sutter as coach \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20070714/ap_on_sp_ho_ne/hkn_devils_sutter""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070713/capt.6c742aa6d82f4cb58f37691bafb258ba.devils_sutter_hockey_njme108.jpg?x=97&y=130&sig=hmbiwax4lpgik5sq92qq2w--"" align=""left"" height=""130"" width=""97"" alt=""brent sutter smiles as he is introduced as the new jersey devils new head coach friday, july 13, 2007 in newark, n.j. sutter, third youngest of seven sutter brothers, six of whom played in the nhl, played on the 1982-83 stanley cup winning new york islanders  team. (ap photo/mel evans)"" border=""0"" /></a>ap - the first time jeff vanderbeek listened to brent sutter, the devils' owner knew he was the right man to return new jersey to glory.</p><br clear=""all""/>",84,46,797,0.05764411027568922
1080,Topix.Net,"Romania, Bulgaria on course for 2007 EU entry, but Croatia kept waiting","Romania and Bulgaria, left out of the European Union's historic expansion which this year brought in 10 new countries, are on track to join the bloc in 2007 but Croatia will have to wait, according to an EU ...",5,2004-10-06 05:13:44,"romania, bulgaria on course for 2007 eu entry, but croatia kept waiting romania and bulgaria, left out of the european union's historic expansion which this year brought in 10 new countries, are on track to join the bloc in 2007 but croatia will have to wait, according to an eu ...",39,71,210,0.33649289099526064
1081,CNN,Election blow for HK Democrats,"HONG KONG, China -- Hong Kong&#39;s main pro-democracy parties have made disappointing gains in legislative elections, adding just three seats to their tally.",5,0000-00-00 00:00:00,"election blow for hk democrats hong kong, china -- hong kong&#39;s main pro-democracy parties have made disappointing gains in legislative elections, adding just three seats to their tally.",23,30,158,0.18867924528301888
1082,Yahoo,"Steelers-Jags lead to record ESPN rating \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20060919/ap_on_sp_fo_ne/fbn_monday_night_ratings""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060919/capt.e8313dc88a0c40b99586af25eecd6978.steelers_jaguars_football_flpc212.jpg?x=130&y=98&sig=yMXH1b.6itqInUWlDFd88g--"" align=""left"" height=""98"" width=""130"" alt=""Two Pittsburgh Steelers fans, left, are surrounded by celebrating Jacksonville Jaguars fans as the clock runs out on the Steelers 9-0 defeat in a National Football League game, Monday, Sept. 18, 2006, in Jacksonville, Fla.(AP Photo/Phil Coale)"" border=""0"" /></a>AP - ESPN's Monday night NFL game was watched by more viewers than any show in cable TV history except a 1993 debate between Al Gore and Ross Perot.</p><br clear=""all""/>",5,2006-09-20 03:01:26,"steelers-jags lead to record espn rating \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20060919/ap_on_sp_fo_ne/fbn_monday_night_ratings""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060919/capt.e8313dc88a0c40b99586af25eecd6978.steelers_jaguars_football_flpc212.jpg?x=130&y=98&sig=ymxh1b.6itqinuwldfd88g--"" align=""left"" height=""98"" width=""130"" alt=""two pittsburgh steelers fans, left, are surrounded by celebrating jacksonville jaguars fans as the clock runs out on the steelers 9-0 defeat in a national football league game, monday, sept. 18, 2006, in jacksonville, fla.(ap photo/phil coale)"" border=""0"" /></a>ap - espn's monday night nfl game was watched by more viewers than any show in cable tv history except a 1993 debate between al gore and ross perot.</p><br clear=""all""/>",74,53,778,0.06803594351732992
1083,New,Philips to Reduce Value of Stake in MedQuist,Royal Philips Electronics said on Wednesday that it would take a $752 million charge in the fourth quarter to reduce the value of its stake in MedQuist ,5,2004-11-18 06:34:12,philips to reduce value of stake in medquist royal philips electronics said on wednesday that it would take a $752 million charge in the fourth quarter to reduce the value of its stake in medquist ,27,44,152,0.2875816993464052
1084,Washington,Chiron Corp. delays release of flu vaccine,Chiron Corp. of California says contamination concerns will delay the release of its flu virus vaccine until October. A spokesman said Thursday a final internal release procedure ,5,2004-08-27 23:14:42,chiron corp. delays release of flu vaccine chiron corp. of california says contamination concerns will delay the release of its flu virus vaccine until october. a spokesman said thursday a final internal release procedure ,27,42,179,0.23333333333333334
1085,Reuters,Auction Pushes YUKOS Toward Collapse," MOSCOW (Reuters) - Russia's top oil exporter, YUKOS, slid  closer to collapse after a mystery buyer bought its main  production unit in a forced auction and its crude oil shipments  started to slow.",5,0000-00-00 00:00:00,"auction pushes yukos toward collapse  moscow (reuters) - russia's top oil exporter, yukos, slid  closer to collapse after a mystery buyer bought its main  production unit in a forced auction and its crude oil shipments  started to slow.",33,36,199,0.18
1086,Guardian,Inquiry to begin as sub limps into port,Investigation of the cause of the fire on the submarine Chicoutimi begins in earnest today after its safe arrival at Faslane naval base on the Clyde yesterday.,5,0000-00-00 00:00:00,inquiry to begin as sub limps into port investigation of the cause of the fire on the submarine chicoutimi begins in earnest today after its safe arrival at faslane naval base on the clyde yesterday.,27,39,159,0.24375
1087,Wired,Tire Companies Push Safer Tires,"A new federal regulation requiring tire-pressure monitoring doesn't go far enough to protect consumers, say tire manufacturers. Plus: Colorado will triple ethanol pumps. In Autopia.",5,2007-02-16 21:14:32,"tire companies push safer tires a new federal regulation requiring tire-pressure monitoring doesn't go far enough to protect consumers, say tire manufacturers. plus: colorado will triple ethanol pumps. in autopia.",25,31,181,0.17032967032967034
1088,Yahoo,"TE Stevens expected to miss 6 weeks \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20060818/ap_on_sp_fo_ne/fbn_seahawks_stevens""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060817/capt.dfc17da952ac4535b803bceeb3ca1568.seahawks_stevens_football_wajb104.jpg?x=130&y=112&sig=tu.OQLj9EG6HWafs8ickwQ--"" align=""left"" height=""112"" width=""130"" alt=""Seattle Seahawks tight end Jerramy Stevens is taken into the training facility by cart after injuring his left knee during football training camp, Thursday Aug. 17, 2006, at Eastern Washington University in Cheney, Wash.  (AP Photo/Jim Bryant)"" border=""0"" /></a>AP - Seattle tight end Jerramy Stevens was expected to miss the next six weeks after injuring his surgically repaired left knee during practice Thursday.</p><br clear=""all""/>",5,2006-08-18 06:39:03,"te stevens expected to miss 6 weeks \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20060818/ap_on_sp_fo_ne/fbn_seahawks_stevens""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060817/capt.dfc17da952ac4535b803bceeb3ca1568.seahawks_stevens_football_wajb104.jpg?x=130&y=112&sig=tu.oqlj9eg6hwafs8ickwq--"" align=""left"" height=""112"" width=""130"" alt=""seattle seahawks tight end jerramy stevens is taken into the training facility by cart after injuring his left knee during football training camp, thursday aug. 17, 2006, at eastern washington university in cheney, wash.  (ap photo/jim bryant)"" border=""0"" /></a>ap - seattle tight end jerramy stevens was expected to miss the next six weeks after injuring his surgically repaired left knee during practice thursday.</p><br clear=""all""/>",70,48,781,0.061381074168797956
1089,Reuters,Carter Predicts Florida Poll Will Again Be Flawed," WASHINGTON (Reuters) - Former President Jimmy Carter, who  has monitored elections throughout the developing world,  predicted on Monday the U.S. presidential vote in Florida would  be as flawed as the 2000 poll there.",5,0000-00-00 00:00:00,"carter predicts florida poll will again be flawed  washington (reuters) - former president jimmy carter, who  has monitored elections throughout the developing world,  predicted on monday the u.s. presidential vote in florida would  be as flawed as the 2000 poll there.",33,49,219,0.22272727272727272
